Compound,H2O
MolarMass,18.015
""
Energy_eV,Energy_MeV,mu_m_cm2_g
5.008872166129769,5.0088721661297685e-6,0.000722055573751347
5.0343150227002615,5.0343150227002615e-6,0.0007374383192739095
5.059887117735821,5.05988711773582e-6,0.0007528728041552959
5.085589107710724,5.085589107710723e-6,0.0007686314687620014
5.111421652433844,5.1114216524338436e-6,0.0007847211446845733
5.137385415065596,5.137385415065596e-6,0.00080156551147421
5.163481062134955,5.163481062134955e-6,0.0008202541796152488
5.1897092635565665,5.189709263556567e-6,0.0008393825930825776
5.216070692647948,5.216070692647948e-6,0.0008589611988396926
5.242566026146773,5.242566026146773e-6,0.0008790006944917333
5.269195944228243,5.269195944228243e-6,0.0008995120343586731
5.295961130522548,5.295961130522547e-6,0.0009205064356971099
5.322862272132417,5.3228622721324165e-6,0.0009405306393195123
5.349900059650759,5.349900059650759e-6,0.000959611340125988
5.377075187178387,5.3770751871783864e-6,0.000979082308850254
5.404388352341842,5.404388352341842e-6,0.0009989515960587654
5.431840256311298,5.431840256311298e-6,0.001019227419840984
5.4594316038185635,5.4594316038185635e-6,0.0010399181693260544
5.487163103175173,5.487163103175173e-6,0.0010624806056619362
5.5150354662905725,5.515035466290572e-6,0.001089691831497693
5.54304940869039,5.543049408690389e-6,0.0011176037403388636
5.571205649534811,5.5712056495348104e-6,0.0011435591451512282
5.599504911637033,5.599504911637032e-6,0.0011701178874082773
5.6279479214818275,5.6279479214818275e-6,0.0011972983270604803
5.656535409244189,5.6565354092441886e-6,0.0012251151221003371
5.685268108808073,5.685268108808073e-6,0.0012535832783611173
5.714146757785249,5.714146757785249e-6,0.0012827181578188567
5.743172097534218,5.743172097534218e-6,0.0013105270483431623
5.772344873179264,5.772344873179264e-6,0.0013376182476231577
5.801665833629568,5.801665833629567e-6,0.0013687374226952478
5.831135731598439,5.831135731598439e-6,0.0014006740103139955
5.860755323622639,5.860755323622639e-6,0.0014333662641831104
5.8905253700818,5.8905253700818e-6,0.001466832327823415
5.920446635217948,5.9204466352179475e-6,0.0015010907868985793
5.950519887155119,5.950519887155119e-6,0.0015361606801487472
5.980745897919081,5.980745897919081e-6,0.0015720615105983397
6.011125443457153,6.011125443457152e-6,0.0016087124074568597
6.041659303658119,6.041659303658119e-6,0.001641564774265988
6.072348262372258,6.072348262372258e-6,0.0016750932565000017
6.1031931074314585,6.103193107431458e-6,0.0017093118813653577
6.134194630669451,6.134194630669451e-6,0.0017442349694922195
6.165353627942125,6.165353627942124e-6,0.0017800306975611054
6.19667089914797,6.19667089914797e-6,0.0018258917123753497
6.228147248248607,6.228147248248607e-6,0.0018729413125771908
6.259783483289427,6.259783483289426e-6,0.0019212104728744263
6.29158041642033,6.29158041642033e-6,0.001970730979275972
6.323538863916583,6.3235388639165826e-6,0.002018504695096612
6.355659646199769,6.355659646199769e-6,0.0020634253106483302
6.38794358785885,6.38794358785885e-6,0.002109349714552205
6.4203915176713355,6.4203915176713355e-6,0.002156300424128088
6.453004268624558,6.453004268624558e-6,0.0022043004636405844
6.485782677937058,6.485782677937058e-6,0.002253373375750545
6.518727587080076,6.518727587080076e-6,0.0023086300520778953
6.551839841799156,6.551839841799156e-6,0.002367184584430811
6.5851202921358505,6.58512029213585e-6,0.0024272450508725962
6.618569792449553,6.618569792449553e-6,0.0024888507471419147
6.652189201439422,6.652189201439422e-6,0.0025520420095165213
6.68597938216643,6.685979382166429e-6,0.0026161656953388453
6.719941202075516,6.7199412020755155e-6,0.0026730611892019527
6.754075533017856,6.754075533017856e-6,0.002731211310332622
6.788383251273246,6.788383251273246e-6,0.0027906441264621477
6.8228652375725956,6.8228652375725955e-6,0.002851388342429497
6.857522377120537,6.857522377120536e-6,0.0029134733148505638
6.892355559618151,6.892355559618151e-6,0.002976929067129785
6.927365679285809,6.927365679285809e-6,0.003041786304822227
6.962553634886122,6.962553634886122e-6,0.0031216114080046555
6.997920329747023,6.997920329747023e-6,0.003203127788618191
7.033466671784948,7.033466671784948e-6,0.0032830028728279533
7.069193573528148,7.069193573528147e-6,0.0033648836094631418
7.105101952140114,7.105101952140113e-6,0.0034488206839500823
7.141192729443122,7.141192729443122e-6,0.0035348660701230144
7.1774668319419,7.1774668319419e-6,0.003623073063148676
7.213925190847407,7.213925190847406e-6,0.0037117183498291077
7.250568742100745,7.250568742100744e-6,0.0037931748286408767
7.287398426397181,7.28739842639718e-6,0.003876422952996777
7.324415189210299,7.3244151892102984e-6,0.0039673306352897425
7.361619980816272,7.361619980816271e-6,0.004066769941133676
7.399013756318255,7.399013756318255e-6,0.004168745614128042
7.436597475670903,7.436597475670902e-6,0.004273323531861434
7.474372103705017,7.474372103705016e-6,0.004380571314267554
7.512338610152315,7.5123386101523145e-6,0.00449055837051985
7.550497969670321,7.55049796967032e-6,0.0046033559472090264
7.588851161867388,7.588851161867388e-6,0.004710453571166355
7.627399171327848,7.627399171327848e-6,0.0048136292630113695
7.666142987637286,7.666142987637287e-6,0.004919086456523114
7.7050836054079435,7.705083605407943e-6,0.005028125700406612
7.7442220243042525,7.744222024304251e-6,0.00516131028131058
7.783559249068499,7.783559249068499e-6,0.005298030069309568
7.823096289546614,7.823096289546614e-6,0.0054383790923733496
7.862834160714103,7.862834160714102e-6,0.005582453884271719
7.902773882702096,7.902773882702095e-6,0.005730353551477687
7.942916480823538,7.942916480823537e-6,0.005882179841860149
7.983262985599511,7.98326298559951e-6,0.00601713826043525
8.02381443278569,8.02381443278569e-6,0.006154989151610037
8.064571863398928,8.064571863398928e-6,0.006311382535668659
8.105536323743985,8.105536323743984e-6,0.006472348810827806
8.14670886544039,8.146708865440389e-6,0.006637480036251226
8.188090545449429,8.188090545449428e-6,0.006806885594574497
8.229682426101284,8.229682426101284e-6,0.00698067778426076
8.271485575122313,8.271485575122313e-6,0.007158971898463503
8.313501065662443,8.313501065662443e-6,0.007341886306051799
8.35572997632273,8.35572997632273e-6,0.007529542534857842
8.398173391183047,8.398173391183046e-6,0.007738852282271225
8.440832399829917,8.440832399829917e-6,0.007950489057038506
8.483708097384477,8.483708097384477e-6,0.008157534338735308
8.526801584530599,8.526801584530598e-6,0.008369975244699856
8.57011396754314,8.57011396754314e-6,0.008587952482527257
8.613646358316341,8.61364635831634e-6,0.008811610431681475
8.65739987439238,8.657399874392381e-6,0.009043087511937577
8.701375638990054,8.701375638990054e-6,0.0093051762534562
8.745574781033614,8.745574781033614e-6,0.009574956464835912
8.789998435181747,8.789998435181747e-6,0.009849155758873115
8.834647741856704,8.834647741856704e-6,0.010101687966690462
8.879523847273578,8.879523847273577e-6,0.01036078028863653
8.924627903469728,8.924627903469727e-6,0.010626605438585693
8.969961068334353,8.969961068334353e-6,0.010906637471109832
9.01552450563822,9.01552450563822e-6,0.011229620898585223
9.061319385063532,9.061319385063532e-6,0.011562169016972965
9.107346882233964,9.107346882233964e-6,0.011877526751362485
9.15360817874484,9.15360817874484e-6,0.012190571066981484
9.200104462193464,9.200104462193463e-6,0.012511866250552504
9.24683692620961,9.24683692620961e-6,0.012868859324309308
